Cấp độ,Mô hình,RMSE,MAPE (%),MAE,PRED(25) (%),MBRE (%),MIBRE (%),N test
1_category_national,XGBoost,14735.6116,6.51,10844.207,100,1.89,6.48,20
1_category_national,LSTM,184928.3056,99.92,170277.7463,0,-99.92,199.67,20
1_category_national,ARIMA,36350.0117,14.32,23302.1566,85,11.81,12.82,20
2_category_province,XGBoost,3746.4977,12.56,1136.8657,89.09,7.29,11.53,440
2_category_province,LSTM,18077.4526,153.51,6363.5929,13.64,96.6,83.21,440
2_category_province,ARIMA,2950.9804,17.86,1211.5716,75.23,12.01,16.03,440
3_category_store,XGBoost,15.1774,18.12,8.6926,77.84,8.99,20.61,57030
3_category_store,LSTM,19.815,19.75,9.8697,74.8,11.08,21.64,57030
3_category_store,ARIMA,23.1947,24.52,12.5708,67.44,14.03,21.04,55807
4_subgroup_national,XGBoost,6256.5662,30.12,3362.7756,81.11,10.03,23.63,90
4_subgroup_national,LSTM,48268.118,225.61,31682.7194,14.44,130.83,108.33,90
4_subgroup_national,ARIMA,13054.8556,40.16,6725.4555,68.89,29.62,25.85,90
5_subgroup_province,XGBoost,1101.9091,33.78,236.4433,79.81,21.17,29.52,1865
5_subgroup_province,LSTM,5390.2786,64.73,1232.3529,28.81,-2.2,64.74,1865
5_subgroup_province,ARIMA,1141.0938,32.89,299.1481,69.54,15.2,30.28,1839
6_subgroup_store,XGBoost,7.1532,34.45,3.1776,58.73,16.14,39.46,218789
6_subgroup_store,LSTM,7.8891,34.89,3.3369,57.22,12.27,40.68,218789
6_subgroup_store,ARIMA,9.5714,40.07,4.0732,52.24,17.81,39.68,212629
