store_key,store_id,store_name,province_id,province_name
1,14362,BHX_HCM_BTA - 50 Trương Phước Phan,1027,Thành phố Hồ Chí Minh
2,5978,BHX_HGI_CTA - Thửa 1224 Tân Phú Thạnh,1032,Thành phố Cần Thơ
3,14574,BHX_TTH_HUE - 11 Đặng Tất,1019,Thành phố Huế
4,14564,BHX_STR_VCH - Lạc Hoà,1032,Thành phố Cần Thơ
5,6966,BHX_BRV_XMO - 315/12 Phú Bình (Hòa Hiệp),1027,Thành phố Hồ Chí Minh
6,15689,BHX_HCM_BHI - Ni Sư Huỳnh Liên,1027,Thành phố Hồ Chí Minh
7,4659,BHX_BTR_TPH - Thửa 66 An Hội A (Chợ Giồng Ớt),1030,Tỉnh Vĩnh Long
8,14717,BHX_KGI_GRI - Ngọc Hoà,1031,Tỉnh An Giang
9,8363,BHX_STR_CLD - Thửa 1289 An Nghiệp,1032,Thành phố Cần Thơ
10,29793,BHX_QTR_LNI - TT. Nông Trường Lệ Ninh,1018,Tỉnh Quảng Trị
11,30058,BHX_AGI_PTA - Chu Văn An,1031,Tỉnh An Giang
12,6189,BHX_HCM_TDU - 418 Quốc Lộ 13,1027,Thành phố Hồ Chí Minh
13,4993,BHX_BRV_VTA - 5 Nguyễn Hữu Cảnh,1027,Thành phố Hồ Chí Minh
14,15708,BHX_NAN_TVI - Trường Vinh,1016,Tỉnh Nghệ An
15,30247,BHX_HCM_TMT - 79 Võ Oanh,1027,Thành phố Hồ Chí Minh
16,10354,BHX_LAN_DHU - Mỹ Thạnh Bắc,1028,Tỉnh Tây Ninh
17,4658,BHX_TNI_HTH - Thửa 01 Long Thời,1028,Tỉnh Tây Ninh
18,5680,BHX_KHH_VNI - Tân Phước Tây (Chợ Tu Bông),1023,Tỉnh Khánh Hòa
19,15743,BHX_HCM_BLT - 399 Phan Văn Trị,1027,Thành phố Hồ Chí Minh
20,13460,BHX_BTR_CTH - Kho Bến Tre (HUB),1030,Tỉnh Vĩnh Long
21,15072,BHX_THO_QXU - Kho Thanh Hóa (HUB),1015,Tỉnh Thanh Hóa
22,15633,BHX_HUE_THO - 87-89 Nguyễn Sinh Cung,1019,Thành phố Huế
23,30026,BHX_HCM_VTA - đường DB4,1027,Thành phố Hồ Chí Minh
24,29923,BHX_HCM_HLO - A2/3 Hưng Long,1027,Thành phố Hồ Chí Minh
25,7917,BHX_TGI_CBE - Thái Hòa (An Thái Đông),1029,Tỉnh Đồng Tháp
26,4705,BHX_VLO_TBI - Tổ 11 Mỹ Phú,1030,Tỉnh Vĩnh Long
27,5298,BHX_KHH_NTR - Thửa 690 Vĩnh Ngọc,1023,Tỉnh Khánh Hòa
28,28657,BHX_HCM_PLA - 178G Tân Hoà Đông,1027,Thành phố Hồ Chí Minh
29,28673,BHX_DNA_DBT - Điện Bàn Tây,1020,Thành phố Đà Nẵng
30,4778,BHX_LAN_TAN - Thửa 76 Phường 4,1028,Tỉnh Tây Ninh
31,7817,BHX_LDO_DHU - 276 Lê Lợi,1025,Tỉnh Lâm Đồng
